is_in_other_df,body
1,"""We've decided you're going to pay to feed the immigrant kids we're cramming into the country that you're already subsidizing... Oh also, we get a pay raise today and your cost of fuel is going up. Fuck you, we hate you."" https://t.co/0BVFKZwkr4"
1,"Campbell is himself married to a migrant. But, hey, let's stir up hatred towards people who look like her... (Because when the bigots this diatribe is aimed at think  ""immigration,"" they aren't thinking about white people are they?) https://t.co/NZ80FLRwLh"
1,"Mexican immigration started rounding them up in Juarez today, giving chase to this guy and sending their catches 1500 miles south. That’s a horror because they spent thousands in smuggling fees to get this far and that’s sunk cost of you end up back at the Guat border. https://t.co/NrnkbY9HKj"
1,"Oz is running the second biggest immigration driven population Ponzi scheme out of 38 OECD countries; Canada being #1, with their recent population growth having hit 3.2% (90% from foreign immigration) #ausbiz #Canada https://t.co/VNYeZEvS06"
1,"Cost of Tory chaos exposed as voters left with £8billion bill from their carnage

Heaven help us 

https://t.co/hl8Z1yGC7F"
1,"🚨#BREAKING- U.S. Citizenship and Immigration Services introduces ""a third gender option” on its ""Application for Naturalization"" for citizenship forms

How do you feel about how your tax dollars are being spent? https://t.co/9i5FHNxBSt"
1,This is not a migrant needing mental healthfunding.
1,Biden's Immigration problems https://t.co/crI6yeZsJe
1,"‘My parents, like many other people who migrate, seek asylum or sanctuary, didn’t relocate because they wanted to but because the devastating consequences of conflict left them with no other choice. The data does indicate that being a migrant, asylum seeker or refugee can… https://t.co/GNSiDWwSO3"
1,"Mayor @mikejohnstonco just announced MORE homeless spending in #Denver for 2024 than expected and now I’ve been informed that we’re also paying Quebec Hospitality, LLC to hold empty rooms for migrant arrivals. (1/2) https://t.co/NdYbrR4Vol"
1,"Support a Strong Border.

Oppose Sanctuary Status in Kent County.

No More Illegal Immigrant Murders in Our Backyard! https://t.co/Z5eAKCFHdW"
1,"refuge, migration &amp; exile studies final today! wish me luck y’all!! https://t.co/y1EnMPJg9D"
1,"There are only two genders
Immigration is bad.
Climate change is a scam.
Diversity is destroying society.
Freedom of speech is your birthright"
1,"This is the thing about you tethers, you dont know our history and our history isnt an apply all. My earliest ancestor was traced to Delaware in the 1700’s he was a farmer so this wouldn’t apply to me. 

And there’s no immigration within your own country anyway. 😵‍💫"
1,"Channel migrant arrivals SURGE by 43% in 2024 as another 442 cross by small boat on Easter Sunday

https://t.co/HJiDOhexJF"
1,"Who's having an ""anti-immigration discussion""? 
Not us- we're having an immigration numbers discussion.

Too often, population expansionists seek to mis-caste our position in order to falsely radicalise us, 
... and to silence opposition to their agenda.
https://t.co/OyDt37m4wh"
1,"Migrant Money ... Inn of Chicago, Standard Club, Landing Zone and 23rd and Halsted Migrant Update 5:52 p.m. April 1st 2024 ... Alley Activity been sitting here for over an hour and a half there's all kinds of stuff going on in this sale I have no clue what it's about as families… https://t.co/AkXhNH0yU6"
1,"A local ordinance in Yarmouth limits temporary stays at motels to less than 30 days, but Harborside Suites has served as an emergency shelter for more than 20 migrant families since last September. https://t.co/KJAHjzuKdz"
1,"Border security is national security.

“Chinese illegal immigrant arrested after driving onto military base in California”
https://t.co/rH4HnGHg9G"
1,"Whites are still a majority in their countries because mass immigration at this scale is relatively new. 

If you look at the youngest generation however the great replacement has already happened.

The future for our children is very likely to be bleak."
1,"Another day, another Mohpredator 

End Islamic based immigration to end the epidemic of muslim Mohpredators"
1,"I said it on @AymanMSNBC last night and I'll say it again: The immigrant workers who lost their lives at the #FrancisScottKeyBridge were HEROES working the kinds of grueling, dangerous jobs that others don't want. Every U.S. city should welcome people like them with open arms. https://t.co/8flxv6Q7Tn"
1,"Immigrants built America. That’s true. Everyone that came here initially was an immigrant. The ILLEGAL ALIENS that are surging over our southern border haven’t built a damn thing. For Joy Reid, it’s only about the black folks. So if you ain’t black ….

https://t.co/whMjvrhC1U"
1,WATCH: Democrats in swing districts across Florida have remained quiet about DeSantis’ efforts to protect Florida from illegal migration from Haiti https://t.co/rCqcfP5uGm
1,"🚨BREAKING: Criminal
Alien “Viacrucis Migrante” Migrant Caravan continues march towards the United States. Next stop Mexico City. Mexican Government has been issuing permits to criminal aliens breaking into the United States? This group is mad they didn’t get one. Others did⁉️👀 https://t.co/pgvdkMDKUs"
1,"Australia is a ticking time bomb.

⛺️Housing affordability at its worst ever
📉Real wages are stagnant
🏚️Communities changing
🚨Social cohesion breaking apart

👉Hit pause, before it's too late. https://t.co/kjMy8PFQPY"
1,"WHITE SUPREMACIST ARE DISRUPTING OUR PUBLIC OFFICIALS IN NEBRASKA !!! 
Please Call FBI &amp; ADL and report this
👇
Nebraska Senator Pete Ricketts get educated
by GDL IRL Activist ""Mighty Mouse"" on jewish mass migration https://t.co/nGp10aXzIi"
1,"I don’t care if migrant children don’t have food for lunch, maybe then their parents might bring them back where they came from. We shouldn’t be forced to feed and house the global poor, doing so is leading to Canadians not being able to afford to have children themselves."
1,"Donald Trump said that he has no choice but to conduct Mass Deportations  

Do you support Donald Trump Mass Deporting every illegal immigrant from America ?"
1,Every RNLI Crew Member on this RNLI Boat should be Named plus be prosecuted in a Court of Law &amp; sent to prison if any Immigrant on this RNLI boat Rapes or Kills in the UK🏴‍☠️🏴‍☠️🐾🐾
1,"Illegal immigration is big business for the Cartels Mexico and the US.
The only one's who lose is the American taxpayers."
1,"The great watamoose migration

By @/theleshyman https://t.co/0X1KrUNCi6"
1,The Center for Jewish and Israeli Affairs cries out in pain as the immigration policies they lobbied for blow up in their face. https://t.co/cwqPgw7LPY
1,"“I might hit you, fight with you, strike quick as flight missiles! Hands around your neck like I’m trying to fix your mic issues. Ain’t joking tonight with you, knife slit through, white tissue. Immigration police, ICE pick you!” - @RealSikh99 https://t.co/QTrA4Tvoge"
